,series,date,index,index_sa
0,abs,2015-01-01,101.029,101.011
1,abs,2015-02-01,90.812,98.808
2,abs,2015-03-01,101.66,98.567
3,abs,2015-04-01,97.041,98.377
4,abs,2015-05-01,100.677,100.157
5,abs,2015-06-01,100.905,99.91
6,abs,2015-07-01,100.42,100.112
7,abs,2015-08-01,98.206,99.464
8,abs,2015-09-01,101.531,101.319
9,abs,2015-10-01,104.589,100.764
10,abs,2015-11-01,99.544,99.827
11,abs,2015-12-01,103.587,99.592
12,abs,2016-01-01,104.303,102.1
13,abs,2016-02-01,94.629,102.7
14,abs,2016-03-01,104.343,102.8
15,abs,2016-04-01,99.762,103.1
16,abs,2016-05-01,103.588,103.4
17,abs,2016-06-01,106.333,105.6
18,abs,2016-07-01,104.235,103.6
19,abs,2016-08-01,103.132,103.5
20,abs,2016-09-01,104.638,105.0
21,abs,2016-10-01,109.175,105.2
22,abs,2016-11-01,106.408,105.6
23,abs,2016-12-01,108.95,106.7
24,abs,2017-01-01,108.212,105.678
25,abs,2017-02-01,99.487,107.995
26,abs,2017-03-01,109.084,107.512
27,abs,2017-04-01,103.819,106.72
28,abs,2017-05-01,107.854,107.537
29,abs,2017-06-01,109.514,109.008
30,abs,2017-07-01,110.29,109.808
31,abs,2017-08-01,110.216,110.788
32,abs,2017-09-01,109.496,109.983
33,abs,2017-10-01,112.825,109.167
34,abs,2017-11-01,111.842,110.804
35,abs,2017-12-01,112.03,109.852
36,abs,2018-01-01,113.447,109.866
37,abs,2018-02-01,101.82,110.83
38,abs,2018-03-01,112.27,111.09
39,abs,2018-04-01,108.986,113.036
40,abs,2018-05-01,111.631,112.183
41,abs,2018-06-01,111.803,112.025
42,abs,2018-07-01,113.269,113.033
43,abs,2018-08-01,112.342,112.136
44,abs,2018-09-01,112.364,112.151
45,abs,2018-10-01,117.756,113.634
46,abs,2018-11-01,114.258,112.486
47,abs,2018-12-01,115.97,112.405
48,abs,2019-01-01,117.74,113.451
49,abs,2019-02-01,104.275,112.911
50,abs,2019-03-01,116.006,114.499
51,abs,2019-04-01,112.671,116.883
52,abs,2019-05-01,116.224,117.789
53,abs,2019-06-01,115.317,116.009
54,abs,2019-07-01,114.771,115.648
55,abs,2019-08-01,114.887,114.464
56,abs,2019-09-01,114.27,113.614
57,abs,2019-10-01,118.046,113.803
58,abs,2019-11-01,116.976,114.874
59,abs,2019-12-01,117.452,113.648
60,abs,2020-01-01,118.547,114.191
61,abs,2020-02-01,110.597,118.496
62,abs,2020-03-01,110.082,108.343
63,abs,2020-04-01,77.052,79.766
64,abs,2020-05-01,91.279,93.509
65,abs,2020-06-01,115.479,115.706
66,abs,2020-07-01,116.859,119.444
67,abs,2020-08-01,114.805,114.753
68,abs,2020-09-01,115.98,115.01
69,abs,2020-10-01,117.862,113.92
70,abs,2020-11-01,114.393,111.779
71,abs,2020-12-01,119.519,115.305
72,abs,2021-01-01,120.041,116.033
73,abs,2021-02-01,112.384,119.701
74,abs,2021-03-01,120.629,118.365
75,abs,2021-04-01,115.27,120.731
76,abs,2021-05-01,115.331,118.745
77,abs,2021-06-01,116.946,116.882
78,abs,2021-07-01,110.607,113.621
79,abs,2021-08-01,114.452,114.128
80,abs,2021-09-01,118.272,116.78
81,abs,2021-10-01,124.39,120.23
82,abs,2021-11-01,124.942,121.888
83,abs,2021-12-01,126.595,122.476
84,abs,2022-01-01,124.865,121.888
85,abs,2022-02-01,116.442,123.395
86,abs,2022-03-01,126.6,123.897
87,abs,2022-04-01,120.477,126.592
88,abs,2022-05-01,119.432,123.402
89,abs,2022-06-01,130.8,130.703
90,abs,2022-07-01,124.68,129.03
91,abs,2022-08-01,129.509,129.632
92,abs,2022-09-01,131.097,129.318
93,abs,2022-10-01,129.836,125.947
94,abs,2022-11-01,131.05,127.775
95,abs,2022-12-01,130.2,126.097
96,abs,2023-01-01,127.352,123.935
97,abs,2023-02-01,120.637,127.175
98,abs,2023-03-01,130.644,127.678
99,abs,2023-04-01,116.599,122.862
100,abs,2023-05-01,125.105,129.44
101,abs,2023-06-01,127.895,127.389
102,abs,2023-07-01,125.596,129.824
103,abs,2023-08-01,129.142,128.856
104,abs,2023-09-01,130.551,128.502
105,abs,2023-10-01,133.095,128.616
106,abs,2023-11-01,131.833,128.058
107,abs,2023-12-01,130.12,126.097
108,abs,2024-01-01,132.769,129.315
109,abs,2024-02-01,124.409,130.96
110,abs,2024-03-01,133.779,130.717
111,growth_yoy,2016-01-01,3.24,1.078
112,growth_yoy,2016-02-01,4.204,3.939
113,growth_yoy,2016-03-01,2.639,4.294
114,growth_yoy,2016-04-01,2.804,4.801
115,growth_yoy,2016-05-01,2.891,3.238
116,growth_yoy,2016-06-01,5.379,5.695
117,growth_yoy,2016-07-01,3.798,3.484
118,growth_yoy,2016-08-01,5.016,4.058
119,growth_yoy,2016-09-01,3.06,3.633
120,growth_yoy,2016-10-01,4.385,4.402
121,growth_yoy,2016-11-01,6.896,5.783
122,growth_yoy,2016-12-01,5.177,7.137
123,growth_yoy,2017-01-01,3.748,3.504
124,growth_yoy,2017-02-01,5.134,5.156
125,growth_yoy,2017-03-01,4.544,4.584
126,growth_yoy,2017-04-01,4.067,3.511
127,growth_yoy,2017-05-01,4.118,4.001
128,growth_yoy,2017-06-01,2.992,3.227
129,growth_yoy,2017-07-01,5.809,5.992
130,growth_yoy,2017-08-01,6.869,7.042
131,growth_yoy,2017-09-01,4.643,4.746
132,growth_yoy,2017-10-01,3.343,3.771
133,growth_yoy,2017-11-01,5.106,4.928
134,growth_yoy,2017-12-01,2.828,2.954
135,growth_yoy,2018-01-01,4.838,3.963
136,growth_yoy,2018-02-01,2.344,2.625
137,growth_yoy,2018-03-01,2.921,3.328
138,growth_yoy,2018-04-01,4.977,5.918
139,growth_yoy,2018-05-01,3.502,4.32
140,growth_yoy,2018-06-01,2.09,2.768
141,growth_yoy,2018-07-01,2.702,2.937
142,growth_yoy,2018-08-01,1.93,1.217
143,growth_yoy,2018-09-01,2.619,1.971
144,growth_yoy,2018-10-01,4.371,4.092
145,growth_yoy,2018-11-01,2.16,1.518
146,growth_yoy,2018-12-01,3.517,2.324
147,growth_yoy,2019-01-01,3.785,3.263
148,growth_yoy,2019-02-01,2.412,1.878
149,growth_yoy,2019-03-01,3.327,3.069
150,growth_yoy,2019-04-01,3.381,3.403
151,growth_yoy,2019-05-01,4.115,4.997
152,growth_yoy,2019-06-01,3.144,3.556
153,growth_yoy,2019-07-01,1.325,2.313
154,growth_yoy,2019-08-01,2.265,2.076
155,growth_yoy,2019-09-01,1.696,1.304
156,growth_yoy,2019-10-01,0.246,0.149
157,growth_yoy,2019-11-01,2.379,2.123
158,growth_yoy,2019-12-01,1.278,1.106
159,growth_yoy,2020-01-01,0.685,0.652
160,growth_yoy,2020-02-01,6.063,4.946
161,growth_yoy,2020-03-01,-5.106,-5.376
